,word,part_of_speech,transcription,hint,lvl,label,definition,examples,order_num,root_word
0,a ,determiner,/eɪ/,NOT PARTICULAR,A1,,used before a noun to refer to a single thing or person but not a particular thing or person or not one that you have referred to before,"[""She's got a boyfriend."", 'Someone left an umbrella here yesterday.', 'Is he a friend of yours?']",1,a
1,a ,determiner,/eɪ/,ANY/EVERY,A1,,used to mean any or every thing or person of the type you are referring to,"['Can you ride a bike?', 'A child needs love.', 'A cheetah can run faster than a lion.']",1,a
2,a ,determiner,/eɪ/,ONE,A1,,one,"['a hundred dollars', 'a dozen eggs']",1,a
3,a ,determiner,/eɪ/,TYPE,A1,,used to state what type of thing or person something or someone is,"[""Sally's an engineer."", ""It's a rabbit.""]",1,a
4,a ,determiner,/eɪ/,AMOUNTS,A2,,used before some phrases saying how much of something there is,"['a few days', 'a bit of wool']",1,a
5,a ,determiner,/eɪ/,AN ACTION,A2,,used before some action nouns when referring to one example of the action,"['Take a look at this, Jez.', ""I'm just going to have a wash.""]",1,a
6,a ,determiner,/eɪ/,TWO NOUNS,A2,,used before the first but not the second of two nouns that are often used together,"['a cup and saucer', 'a knife and fork']",1,a
7,a ,determiner,/eɪ/,UNIT,A2,,"used when referring to a unit of something, especially something you eat or drink","[""I'd love a coffee."", 'All I had for lunch was a yogurt.']",1,a
8,a ,determiner,/eɪ/,WITH FRACTION,A2,,used between a fraction and a unit of measurement,"['half a mile', 'a quarter of a kilo', 'three-quarters of an hour']",1,a
9,a ,determiner,/eɪ/,PERIOD OF TIME,A2,,used when referring to a certain period of time,"['Take one tablet three times a day.', 'She earns $100 000 a year.']",1,a
10,abandon ,verb,/əˈbæn.dən/,LEAVE,B2,T,"to leave someone or something somewhere, sometimes not returning to get them","['They were forced to abandon the car.', ""As a baby, he'd been abandoned by his mother."", 'We were sinking fast, and the captain gave the order to abandon ship.']",2,abandon
11,abandon ,verb,/əˈbæn.dən/,STOP DOING,C1,T,"to stop doing something before it is finished, or to stop following a plan, idea, etc",['The match was abandoned because of rain.'],2,abandon
12,abandoned ,adjective,/əˈbæn.dənd/,EMPTY,B2,,left empty or not working,['an abandoned factory/village'],3,abandoned
13,abandoned ,adjective,/əˈbæn.dənd/,LEFT SOMEWHERE,B2,,"having been left somewhere, intentionally",['An abandoned baby was found in a box on the hospital steps.'],3,abandoned
