,word,root,part_of_speech
0,ability,ability,noun
1,disability,ability,noun
2,inability,ability,noun
3,able,ability,adjective
4,unable,ability,adjective
5,disabled,ability,adjective
6,enable,ability,verb
7,disable,ability,verb
8,ably,ability,adverb
9,ability,able,noun
10,disability,able,noun
11,inability,able,noun
12,able,able,adjective
13,unable,able,adjective
14,disabled,able,adjective
15,enable,able,verb
16,disable,able,verb
17,ably,able,adverb
18,abnormality,abnormal,noun
19,normality,abnormal,noun
20,normal,abnormal,adjective
21,abnormal,abnormal,adjective
22,normally,abnormal,adverb
23,abnormally,abnormal,adverb
24,acceptance,accept,noun
25,acceptable,accept,adjective
26,unacceptable,accept,adjective
27,accepted,accept,adjective
28,accept,accept,verb
29,unacceptably,accept,adverb
30,acceptance,acceptable,noun
31,acceptable,acceptable,adjective
32,unacceptable,acceptable,adjective
33,accepted,acceptable,adjective
34,accept,acceptable,verb
35,unacceptably,acceptable,adverb
36,acceptance,acceptance,noun
37,acceptable,acceptance,adjective
38,unacceptable,acceptance,adjective
39,accepted,acceptance,adjective
40,accept,acceptance,verb
41,unacceptably,acceptance,adverb
42,acceptance,accepted,noun
43,acceptable,accepted,adjective
44,unacceptable,accepted,adjective
45,accepted,accepted,adjective
46,accept,accepted,verb
47,unacceptably,accepted,adverb
48,accident,accident,noun
49,accidental,accident,adjective
50,accidentally,accident,adverb
51,accident,accidental,noun
52,accidental,accidental,adjective
53,accidentally,accidental,adverb
54,accident,accidentally,noun
55,accidental,accidentally,adjective
56,accidentally,accidentally,adverb
57,accuracy,accuracy,noun
58,inaccuracy,accuracy,noun
59,accurate,accuracy,adjective
60,inaccurate,accuracy,adjective
61,accurately,accuracy,adverb
62,inaccurately,accuracy,adverb
63,accuracy,accurate,noun
64,inaccuracy,accurate,noun
65,accurate,accurate,adjective
66,inaccurate,accurate,adjective
67,accurately,accurate,adverb
68,inaccurately,accurate,adverb
69,accuracy,accurately,noun
70,inaccuracy,accurately,noun
71,accurate,accurately,adjective
72,inaccurate,accurately,adjective
73,accurately,accurately,adverb
74,inaccurately,accurately,adverb
75,accusation,accusation,noun
76,the accused,accusation,noun
77,accuser,accusation,noun
78,accuse,accusation,verb
79,accusation,accuse,noun
80,the accused,accuse,noun
81,accuser,accuse,noun
82,accuse,accuse,verb
83,achievement,achieve,noun
84,achiever,achieve,noun
85,achievable,achieve,adjective
86,achieve,achieve,verb
87,achievement,achievement,noun
88,achiever,achievement,noun
89,achievable,achievement,adjective
90,achieve,achievement,verb
91,act,act,noun
92,action,act,noun
93,inaction,act,noun
94,interaction,act,noun
95,reaction,act,noun
96,transaction,act,noun
97,acting,act,adjective
98,act,act,verb
99,act,action,noun
100,action,action,noun
101,inaction,action,noun
102,interaction,action,noun
103,reaction,action,noun
104,transaction,action,noun
105,acting,action,adjective
106,act,action,verb
107,activity,active,noun
108,inactivity,active,noun
109,active,active,adjective
110,inactive,active,adjective
111,interactive,active,adjective
112,proactive,active,adjective
113,activate,active,verb
114,actively,active,adverb
115,activity,actively,noun
116,inactivity,actively,noun
117,active,actively,adjective
118,inactive,actively,adjective
119,interactive,actively,adjective
120,proactive,actively,adjective
121,activate,actively,verb
122,actively,actively,adverb
123,activity,activity,noun
124,inactivity,activity,noun
125,active,activity,adjective
126,inactive,activity,adjective
127,interactive,activity,adjective
128,proactive,activity,adjective
129,activate,activity,verb
